firme,return_on_equity
Accor SA (ACCP),-27.2%
Air Liquide SA (AIRP),12.62%
ArcelorMittal S.A. (MT),-10.54%
Atos SE (ATOS),8.05%
AXA SA (AXAF),4.05%
BNP Paribas SA (BNPP),6.42%
Bouygues SA (BOUY),7.43%
Capgemini SE (CAPP),11.64%
Carrefour SA (CARR),4.82%
Crédit Agricole SA (CAGR),6.27%
Danone SA (DANO),11.65%
Dassault Systemes SE (DAST),10.2%
Airbus Group SE (AIR),-102.28%
EssilorLuxottica SA (ESLX),-0.03%
Orange SA (ORAN),8.41%
Engie SA (ENGIE),-3.82%
Hermès International SCA (HRMS),18.32%
Kering SA (PRTP),18.96%
L'Oréal SA (OREP),11.57%
LVMH Moet Hennessy Louis Vuitton SE (LVMH),12.74%
Legrand SA (LEGD),14.83%
Compagnie Générale des Etablissements Michelin SCA (MICP),6.15%
Pernod Ricard SA (PERP),-
Peugeot SA (PEUP),10.38%
Publicis Groupe (PUBP),9.2%
Renault SA (RENA),-27.29%
Safran SA (SAF),5.56%
Compagnie de Saint-Gobain SA (SGOB),1.57%
Sanofi SA (SASY),18.62%
Schneider Electric SE (SCHN),10.87%
Societe Generale SA (SOGN),-1.23%
Sodexo SA (EXHO),16.77%
STMicroelectronics NV (STM),8.22%
Thales (TCFP),12.63%
Total SA (TOTF),-2.96%
WFD Unibail Rodamco NV (URW),-14.23%
Veolia (VIE),4.78%
Vinci SA (SGEF),8.59%
Vivendi SA (VIV),11.26%
Worldline SA (WLN),6.29%
