firme,price,market_cap,price_to_earnings,beta,earnings_per_share,dividend,shares_outstanding,sector,employees,revenue,indices
Alstom SA (ALSO),45.47,10.26B,22.94,0.63,1.98,N/A,225.973.782,Sociétés ferroviaires,37575,8.2B
Arkema SA (AKE),97.84,7.36B,18.34,1.38,5.25,2.20,76.358.572,Fabrication de produits chimiques,20500,8.26B
Bureau Veritas SA (BVI),20.24,8.98B,55.5,1.01,0.36,0.56,448.923.687,Services aux entreprises,78395,7.3B
Edenred SA (EDEN),42.43,10.32B,38.25,0.74,1.1,0.7,245.817.083,Publicité,8861,2.32B
Electricité de France SA (EDF),8.79,26.85B,16.19,0.78,0.54,0.33,3.098.738.148,Fournisseurs d'électricité,161522,106.03B
Eiffage SA (FOUG),75.46,7.33B,17.28,1.13,4.34,2.80,97.781.980,Services de construction,72213,25.83B
Eurofins Scientific SE (EUFI),661.4,12.7B,36.38,0.79,18.39,3.45,18.984.199,Biotechnologie et médicaments,43476,6.89B
Faurecia (EPED),37.63,4.96B,N/A,2.03, - 1.38,1.3,136.904.807,Pièces automobiles et de camions,104672,23.94B
TechnipFMC PLC (FTI),6.34,2.72B,N/A,2.17, - 12.93,N,449.408.233,Oil Well Services & Equipment,37000,13.35B
Gecina SA (GFCP),113.6,8.14B,7.79,0.82,14.23,5.30,73.504.700,Opérations immobilières,504,1.01B
Getlink SE (GETP),12.23,6.47B,314.59,0.92,0.04,0.41,537.893.064,Sociétés ferroviaires,3539,1.45B
Ingenico Group SA (INGC),142,8.99B,44.5,0.93,3.24,1.20,62.418.073,Matériel informatique,8669,4.77B
Klepierre SA (LOIM),12.62,3.26B,N/A,1.07, - 0.04,2.20,285.225.082,Opérations immobilières,1062,2.22B
Orpea SA (ORP),101.4,6.47B,28.67,0.62,3.5,N/A,64.570.695,Etablissements de santé,65020,3.74B
SCOR (SCOR),24.12,4.36B,27.17,1.2,0.86,1.80,186.284.798,Assurance (biens et multirisques),3028,25.54B
Sodexo SA (EXHO),66.64,9.24B,13.83,0.97,4.58,2.9,145.633.621,Restauration,470000,22.6B
Solvay SA (SOLB),80.84,8.32B,N/A,1.32, - 19.1,1.57,103.410.650,Produits chimiques - plastiques et caoutchouc,24100,10.51B
Suez SA (SEVI),15.04,9.16B,N/A,0.88, - 0.71,0.45,625.149.144,Services de gestion des déchets,82536,26.18B
Ubisoft Entertainment SA (UBIP),72.34,8.79B,N/A,0.97, - 1.08,N/A,120.910.645,Logiciels et programmation,18045,1.59B
Valeo SA (VLOF),27.83,6.42B,N/A,1.97, - 4.45,0.20,239.452.552,Biens d'équipement (divers),114700,26.54B
